               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034499,            0.032087,          0.00074734,             0.92029,              0.8384,               0.883,             0.40049,            0.042867,             0.03372,           0.0019985,            0.006535,            0.006535,            0.006535
                  37,            0.034044,             0.03165,           0.0006728,             0.92801,              0.8528,             0.89366,             0.41519,             0.04239,            0.033428,           0.0022707,            0.006436,            0.006436,            0.006436
                  38,            0.034283,            0.031371,          0.00074608,             0.92252,             0.84803,             0.88718,             0.40949,            0.043038,            0.033727,           0.0023423,            0.006337,            0.006337,            0.006337
                  39,            0.033707,            0.031877,          0.00073666,              0.9301,             0.83792,             0.89461,             0.41277,            0.042566,            0.034325,           0.0021764,            0.006238,            0.006238,            0.006238
                  40,            0.034012,            0.031556,          0.00063491,              0.9188,             0.83538,              0.8854,             0.40636,            0.042652,            0.034556,           0.0022188,            0.006139,            0.006139,            0.006139
                  41,             0.03356,             0.03083,          0.00067492,             0.91685,              0.8379,             0.88543,             0.40799,            0.042511,            0.034514,           0.0022832,             0.00604,             0.00604,             0.00604
                  42,            0.033426,            0.031014,          0.00064109,             0.91721,             0.84991,             0.88717,             0.41248,            0.042475,            0.034159,           0.0023848,            0.005941,            0.005941,            0.005941
                  43,            0.033386,             0.03124,          0.00066486,             0.91805,             0.84376,             0.88449,             0.40614,            0.042597,            0.034241,           0.0022699,            0.005842,            0.005842,            0.005842
                  44,            0.033051,            0.030564,          0.00066828,             0.92052,             0.83362,             0.88281,             0.40108,            0.043009,            0.034974,           0.0026196,            0.005743,            0.005743,            0.005743
                  45,            0.033091,             0.03169,          0.00065457,             0.92485,             0.84051,             0.88071,             0.40673,            0.042402,            0.034535,            0.002187,            0.005644,            0.005644,            0.005644
                  46,            0.032961,            0.030366,          0.00060139,             0.91956,             0.84449,              0.8837,             0.40855,            0.042815,            0.034777,            0.002604,            0.005545,            0.005545,            0.005545
                  47,            0.032745,            0.030735,          0.00055243,              0.9182,             0.82687,             0.87763,             0.40809,            0.042556,            0.035169,           0.0024303,            0.005446,            0.005446,            0.005446
                  48,            0.032542,            0.030696,          0.00057038,             0.91062,             0.84675,             0.88388,             0.40591,            0.042974,            0.034644,           0.0026832,            0.005347,            0.005347,            0.005347
                  49,             0.03239,            0.030421,          0.00057172,             0.91735,             0.83182,              0.8749,             0.40062,            0.043129,            0.034934,            0.002214,            0.005248,            0.005248,            0.005248
                  50,            0.032152,            0.029433,          0.00057923,             0.91595,             0.85359,             0.88893,             0.40039,            0.042947,            0.034716,           0.0021659,            0.005149,            0.005149,            0.005149
                  51,            0.031803,             0.02974,          0.00054425,             0.92048,             0.83914,              0.8864,             0.40505,            0.042797,            0.034974,           0.0023793,             0.00505,             0.00505,             0.00505
